sample overall_map_summary overall_map_count difference
1100 15126467 15126467 0
1110 18484383 18484383 0
1158 19863245 19863245 0
1425 13891712 13891712 0
1179 19395689 19395689 0
1111 25567914 25567914 0
1123 26523390 26523390 0
1113 27040945 27040945 0
1267 20634107 20634107 0
1424 23522021 23522021 0
1107 33268495 33268495 0
1199 30946906 30946906 0
1041 27514790 27514790 0
1136 37200700 37200700 0
1036 29973821 29973821 0
1147 34373128 34373128 0
1177 36925894 36925894 0
1482 11450148 11450148 0
1060 31705968 31705968 0
1145 42632191 42632191 0
1449 15849374 15849374 0
1205 39028818 39028818 0
1049 34782714 34782714 0
1265 38481429 38481429 0
1197 43129668 43129668 0
1192 42305375 42305375 0
1237 42168667 42168667 0
1085 38012445 38012445 0
1282 40469893 40469893 0
1082 38960288 38960288 0
1504 18276774 18276774 0
1242 45010935 45010935 0
1323 41621511 41621511 0
1435 37270015 37270015 0
1304 54140748 54140748 0
1207 57154556 57154556 0
1291 56379948 56379948 0
1321 53734793 53734793 0
1776 12352438 12352438 0
1493 38047203 38047203 0
1445 37902125 37902125 0
1523 34149406 34149406 0
1687 22056703 22056703 0
1295 65259128 65259128 0
1529 34227038 34227038 0
1589 28446603 28446603 0
1444 55358930 55358930 0
1758 25966934 25966934 0
1669 29369495 29369495 0
1593 30527492 30527492 0
1543 40828245 40828245 0
1491 43867936 43867936 0
1532 35295207 35295207 0
1592 36620861 36620861 0
1510 54287633 54287633 0
1697 27577458 27577458 0
1695 27546417 27546417 0
1685 32153326 32153326 0
1904 29092613 29092613 0
1819 30382618 30382618 0
1677 48543879 48543879 0
1793 29631552 29631552 0
1778 30721748 30721748 0
1746 48577078 48577078 0
1884 31397956 31397956 0
1836 32982821 32982821 0
1789 34010638 34010638 0
1886 33900545 33900545 0
1839 35052935 35052935 0
1879 35384159 35384159 0
1578 63324318 63324318 0
1889 36132539 36132539 0
1891 36268508 36268508 0
1844 35282263 35282263 0
1820 35856429 35856429 0
1537 55459568 55459568 0
1907 51285100 51285100 0
1843 37924961 37924961 0
1831 38335598 38335598 0
1785 36008974 36008974 0
1784 34867149 34867149 0
1914 44773827 44773827 0
1999 33870912 33870912 0
1971 41596025 41596025 0
1980 37268958 37268958 0
2018 37306206 37306206 0
1928 48636927 48636927 0
2024 32621187 32621187 0
1782 32725971 32725971 0
2029 32130844 32130844 0
1976 44409148 44409148 0
2064 33246063 33246063 0
1903 43199316 43199316 0
1910 51741868 51741868 0
2022 34820437 34820437 0
1652 66689671 66689671 0
1800 44820373 44820373 0
2020 39815057 39815057 0
1916 53745499 53745499 0
2027 37414462 37414462 0
1798 44785353 44785353 0
1930 53586907 53586907 0
1431 108898907 108898907 0
1965 54851599 54851599 0
1991 49313166 49313166 0
1989 51119366 51119366 0
2071 43386595 43386595 0
2026 35538382 35538382 0
1627 82679734 82679734 0
1625 68825927 68825927 0
2030 38261634 38261634 0
1517 90809912 90809912 0
2317 40101932 40101932 0
1881 57434101 57434101 0
2003 58809435 58809435 0
2123 34872520 34872520 0
2131 36041540 36041540 0
1833 39951349 39951349 0
2231 37661461 37661461 0
2311 37810788 37810788 0
2297 39798332 39798332 0
2152 40477681 40477681 0
2120 39622180 39622180 0
2143 41007941 41007941 0
2263 42167435 42167435 0
2197 43787837 43787837 0
2100 34481731 34481731 0
2303 44627365 44627365 0
2141 44312800 44312800 0
2135 45061160 45061160 0
2195 45510017 45510017 0
2119 44855428 44855428 0
2154 46048715 46048715 0
2118 44672532 44672532 0
2164 48507223 48507223 0
2073 38104384 38104384 0
2076 38172047 38172047 0
2094 42183254 42183254 0
2229 56936796 56936796 0
2261 56484748 56484748 0
1638 125701012 125701012 0
2168 64694916 64694916 0
1818 90874328 90874328 0
1811 99095475 99095475 0
