sample,alignment rate,concordantly 1 time,concordantly >1 time
2071,92.43%,83.87%,4.64%
1644,94.48%,85.63%,4.71%
2123,93.96%,86.08%,4.23%
1147,83.54%,75.81%,4.27%
1928,90.47%,80.64%,4.80%
2024,89.84%,81.68%,4.16%
1881,93.67%,85.22%,4.45%
2026,93.46%,85.21%,4.54%
1652,93.64%,84.75%,4.25%
1662,93.87%,85.23%,4.39%
1107,90.74%,82.17%,4.51%
1145,89.40%,81.78%,4.17%
1242,94.83%,86.46%,5.17%
1627,93.66%,83.76%,5.23%
1240,94.45%,84.09%,5.61%
1879,92.81%,84.15%,4.65%
2100,87.81%,79.76%,4.19%
2231,86.45%,77.41%,4.04%
1989,94.00%,85.45%,4.82%
2131,89.43%,81.22%,3.75%
1782,89.36%,79.68%,4.98%
2073,91.82%,83.46%,4.31%
2143,92.89%,83.90%,4.93%
2152,91.65%,82.63%,4.92%
1449,80.76%,72.16%,2.48%
1502,94.45%,85.49%,4.90%
2141,92.85%,85.26%,3.88%
1323,85.77%,77.10%,4.65%
1242,94.52%,86.11%,5.07%
1424,93.11%,84.92%,4.57%
1884,90.71%,81.68%,4.64%
2195,95.43%,87.32%,4.62%
1444,93.10%,84.58%,4.38%
1107,90.40%,81.73%,4.55%
1662,93.76%,84.98%,4.44%
1431,90.26%,80.94%,4.25%
1532,88.39%,79.47%,4.47%
1136,87.77%,80.37%,3.97%
2263,91.74%,82.96%,4.51%
2030,93.65%,85.19%,4.72%
1110,90.85%,80.74%,4.15%
1800,91.97%,82.93%,4.47%
1192,86.90%,77.23%,5.15%
1625,92.54%,80.86%,6.57%
1529,93.97%,85.41%,4.69%
1776,88.44%,79.19%,3.72%
1504,76.16%,67.74%,3.20%
1889,93.35%,83.27%,5.58%
1434,93.80%,84.75%,4.64%
2119,93.60%,85.47%,4.59%
1819,89.31%,80.12%,4.31%
1111,80.05%,70.70%,5.20%
1903,93.92%,85.09%,4.85%
1916,94.61%,85.81%,4.81%
1819,89.47%,80.22%,4.38%
2024,90.03%,81.80%,4.25%
2029,92.51%,84.32%,4.38%
2123,93.99%,86.27%,4.12%
1170,94.37%,85.44%,4.81%
1493,93.57%,85.18%,4.55%
1839,88.04%,79.32%,4.40%
1111,81.99%,72.51%,5.30%
1116,94.53%,84.65%,5.60%
1113,82.83%,75.08%,4.51%
1930,92.06%,82.42%,4.95%
1449,80.86%,72.24%,2.43%
2027,93.06%,84.80%,4.55%
2168,95.32%,87.46%,4.66%
2154,90.40%,80.59%,5.91%
1041,80.97%,73.37%,3.76%
1914,93.24%,84.18%,5.30%
1793,85.64%,77.06%,4.08%
2152,91.69%,82.72%,4.89%
1758,89.36%,80.29%,4.26%
1435,93.42%,84.87%,4.22%
1695,90.09%,79.15%,5.08%
1154,95.63%,86.12%,5.43%
1134,88.56%,80.20%,3.94%
1300,93.50%,83.66%,5.49%
1758,89.47%,80.53%,4.24%
1903,93.89%,85.13%,4.82%
2135,92.52%,84.04%,4.32%
1638,87.15%,79.43%,3.68%
1831,91.41%,82.68%,4.25%
1445,92.50%,83.10%,4.48%
2073,92.07%,83.74%,4.35%
1638,87.17%,79.49%,3.72%
1695,89.35%,77.90%,5.10%
2229,85.02%,75.82%,4.11%
1843,92.54%,83.87%,4.60%
1537,92.04%,83.90%,4.14%
1820,91.31%,82.01%,4.72%
1800,91.91%,82.89%,4.43%
1999,90.82%,81.63%,4.55%
1512,93.53%,83.94%,4.77%
1532,88.47%,79.51%,4.55%
1240,94.51%,84.40%,5.52%
2120,93.41%,85.14%,4.69%
2231,86.05%,77.07%,3.98%
1543,92.94%,84.62%,3.92%
1323,85.88%,77.15%,4.75%
1914,93.28%,84.31%,5.21%
1989,94.02%,85.57%,4.75%
2154,90.52%,80.70%,5.94%
1833,89.98%,49.50%,33.10%
1784,88.91%,79.11%,4.62%
1321,93.61%,84.73%,5.36%
1811,90.31%,80.67%,4.89%
1800,91.96%,82.99%,4.40%
1493,93.49%,85.12%,4.60%
2197,94.06%,86.20%,3.87%
2119,93.42%,85.26%,4.59%
1434,93.76%,84.56%,4.72%
1976,92.69%,83.95%,4.90%
1512,93.80%,84.24%,4.88%
1836,92.52%,84.25%,4.19%
1625,93.30%,81.80%,6.79%
1110,91.51%,81.72%,4.29%
1426,94.85%,86.44%,4.09%
1237,91.09%,83.03%,4.64%
1435,93.47%,85.14%,4.15%
2303,91.96%,83.67%,4.20%
1282,88.82%,79.85%,4.60%
1267,86.40%,76.53%,3.58%
1321,93.96%,85.15%,5.41%
2071,92.44%,83.86%,4.67%
1529,93.38%,84.57%,4.49%
1136,89.02%,81.59%,4.06%
2317,91.72%,82.55%,5.12%
1677,94.28%,85.91%,4.07%
1685,82.19%,72.00%,3.88%
1424,93.58%,85.62%,4.48%
1793,85.42%,76.80%,4.13%
1058,94.92%,85.87%,5.04%
1789,92.71%,83.62%,4.73%
1980,90.55%,81.97%,4.34%
1782,89.49%,79.95%,4.83%
2164,95.39%,87.90%,4.43%
1532,88.39%,79.35%,4.58%
2024,89.78%,81.50%,4.26%
2229,85.05%,75.76%,4.22%
1240,94.47%,84.21%,5.55%
1537,92.19%,84.09%,4.17%
2018,93.36%,85.00%,4.45%
1267,85.54%,75.32%,3.50%
2003,91.43%,82.73%,4.23%
1889,93.35%,83.41%,5.44%
1194,96.38%,87.42%,5.77%
1811,90.33%,80.70%,4.89%
1782,89.44%,79.86%,4.89%
1836,92.49%,84.19%,4.19%
2317,91.65%,82.46%,5.12%
1158,86.68%,79.71%,3.80%
1784,88.91%,79.17%,4.56%
2120,93.39%,85.16%,4.61%
1041,80.84%,73.28%,3.74%
1502,94.46%,85.49%,4.90%
2120,93.37%,85.13%,4.64%
1907,94.73%,85.60%,5.66%
2303,92.02%,83.80%,4.16%
2073,91.82%,83.51%,4.28%
1592,83.23%,74.76%,3.64%
1543,92.18%,83.48%,3.84%
1999,90.82%,81.51%,4.65%
1265,92.41%,83.67%,3.93%
1265,92.06%,83.27%,3.89%
2135,92.61%,84.19%,4.31%
2022,91.20%,82.38%,4.79%
1240,94.19%,83.79%,5.55%
2168,95.32%,87.25%,4.86%
1904,89.59%,81.63%,4.37%
1644,94.65%,85.93%,4.75%
1154,95.78%,86.34%,5.48%
1107,90.98%,82.46%,4.52%
1971,92.76%,84.05%,4.61%
1435,92.72%,83.97%,4.05%
1199,86.43%,79.83%,3.53%
1304,94.07%,86.44%,4.21%
1839,88.00%,79.23%,4.47%
1484,95.70%,86.77%,4.72%
1820,91.27%,82.02%,4.66%
1594,94.42%,85.56%,4.44%
1291,92.28%,83.63%,4.35%
2094,94.74%,87.06%,4.28%
1746,91.34%,81.03%,4.96%
