sample,total reads,paired unique mapped reads,alignment rate,concordantly 1 time,concordantly >1 time
2071,5906719,4954217,92.43%,83.87%,4.64%
1644,15203051,13018534,94.48%,85.63%,4.71%
2123,4674077,4023649,93.96%,86.08%,4.23%
1147,5202553,3944139,83.54%,75.81%,4.27%
1928,6803444,5486161,90.47%,80.64%,4.80%
2024,4580717,3741620,89.84%,81.68%,4.16%
1881,7716268,6576182,93.67%,85.22%,4.45%
2026,4791104,4082374,93.46%,85.21%,4.54%
1652,9003285,7630729,93.64%,84.75%,4.25%
1662,12215602,10411838,93.87%,85.23%,4.39%
1107,4696163,3858989,90.74%,82.17%,4.51%
1145,5930392,4849950,89.40%,81.78%,4.17%
1242,5871700,5076598,94.83%,86.46%,5.17%
1627,11185969,9369767,93.66%,83.76%,5.23%
1240,15308227,12872437,94.45%,84.09%,5.61%
1879,4771236,4014787,92.81%,84.15%,4.65%
2100,4944587,3943979,87.81%,79.76%,4.19%
2231,5455812,4223377,86.45%,77.41%,4.04%
1989,6877648,5876799,94.00%,85.45%,4.82%
2131,5069324,4117500,89.43%,81.22%,3.75%
1782,4604360,3668569,89.36%,79.68%,4.98%
2073,5229641,4364644,91.82%,83.46%,4.31%
2143,5552606,4658520,92.89%,83.90%,4.93%
2152,5558760,4593402,91.65%,82.63%,4.92%
1449,2497364,1802064,80.76%,72.16%,2.48%
1502,15069676,12883036,94.45%,85.49%,4.90%
2141,5997220,5113322,92.85%,85.26%,3.88%
1323,6172144,4758550,85.77%,77.10%,4.65%
1242,5918557,5096661,94.52%,86.11%,5.07%
1424,3149666,2674708,93.11%,84.92%,4.57%
1884,4322872,3530876,90.71%,81.68%,4.64%
2195,5984609,5225946,95.43%,87.32%,4.62%
1444,7571650,6403924,93.10%,84.58%,4.38%
1107,4570855,3735535,90.40%,81.73%,4.55%
1662,12479284,10605455,93.76%,84.98%,4.44%
1431,14693985,11892640,90.26%,80.94%,4.25%
1532,5030017,3997459,88.39%,79.47%,4.47%
1136,5289602,4251319,87.77%,80.37%,3.97%
2263,5755973,4775295,91.74%,82.96%,4.51%
2030,5124870,4366017,93.65%,85.19%,4.72%
1110,2493430,2013136,90.85%,80.74%,4.15%
1800,6155570,5104757,91.97%,82.93%,4.47%
1192,6018206,4647908,86.90%,77.23%,5.15%
1625,9179124,7422572,92.54%,80.86%,6.57%
1529,4590781,3920757,93.97%,85.41%,4.69%
1776,1732204,1371728,88.44%,79.19%,3.72%
1504,3028656,2051628,76.16%,67.74%,3.20%
1889,4859528,4046520,93.35%,83.27%,5.58%
1434,14870559,12602864,93.80%,84.75%,4.64%
2119,6033041,5156203,93.60%,85.47%,4.59%
1819,4257250,3410980,89.31%,80.12%,4.31%
1111,3991176,2821879,80.05%,70.70%,5.20%
1903,5825019,4956395,93.92%,85.09%,4.85%
1916,7197303,6175918,94.61%,85.81%,4.81%
1819,4280570,3434006,89.47%,80.22%,4.38%
2024,4545738,3718240,90.03%,81.80%,4.25%
2029,4360463,3676741,92.51%,84.32%,4.38%
2123,4648722,4010315,93.99%,86.27%,4.12%
1170,14988221,12806675,94.37%,85.44%,4.81%
1493,5206549,4435013,93.57%,85.18%,4.55%
1839,5012914,3976422,88.04%,79.32%,4.40%
1111,3968391,2877595,81.99%,72.51%,5.30%
1116,16359355,13848531,94.53%,84.65%,5.60%
1113,4079307,3062939,82.83%,75.08%,4.51%
1930,7244111,5970496,92.06%,82.42%,4.95%
1449,2510866,1813862,80.86%,72.24%,2.43%
2027,5074149,4302640,93.06%,84.80%,4.55%
2168,8540907,7469656,95.32%,87.46%,4.66%
2154,6400207,5158107,90.40%,80.59%,5.91%
1041,4319546,3169401,80.97%,73.37%,3.76%
1914,5992743,5044480,93.24%,84.18%,5.30%
1793,4378218,3373711,85.64%,77.06%,4.08%
2152,5546750,4588530,91.69%,82.72%,4.89%
1758,3690178,2962797,89.36%,80.29%,4.26%
1435,5117859,4343756,93.42%,84.87%,4.22%
1695,3864982,3059201,90.09%,79.15%,5.08%
1154,15946090,13733037,95.63%,86.12%,5.43%
1134,15738298,12621717,88.56%,80.20%,3.94%
1300,18362596,15361651,93.50%,83.66%,5.49%
1758,3679970,2963301,89.47%,80.53%,4.24%
1903,5737563,4884272,93.89%,85.13%,4.82%
2135,6123668,5146620,92.52%,84.04%,4.32%
