V1	V2	V3	V4	V5	V6
1	0	1	0	0	0	340719
2	0	1	0	0	0	312800
3	0	1	0	0	0	266386
4	0	1	0	0	-873800	0
5	0	1	0	0	0	512357
6	0	1	0	0	-872198	0
7	0	1	0	0	-998629	0
8	1	0	0	0	-4115252	0
9	0	1	0	0	-413927	0
10	1	0	0	0	0	4895981
11	1	0	0	0	-4162754	0
12	0	1	0	0	-887223	0
13	1	0	0	0	-1202773	0
14	1	0	0	0	0	5293897
15	1	0	0	0	0	207818097
16	0	1	0	0	-764069	0
17	1	0	0	0	0	9097543
18	1	0	0	0	-4332685	0
19	1	0	0	0	-227945702	0
20	0	0	0	1	0	-25040
21	0	1	0	0	-193781	0
22	1	0	0	0	0	4085977
23	1	0	0	0	0	18984358
24	1	0	0	0	0	20812507
25	1	0	0	0	0	20350702
26	1	0	0	0	-1306342	0
27	1	0	0	0	0	4497355
28	1	0	0	0	0	6421712
29	1	0	0	0	0	2333535
30	0	1	0	0	-390436	0
31	1	0	0	0	0	10231702
32	1	0	0	0	-1036267	0
33	1	0	0	0	0	7209006
34	1	0	0	0	0	7230835
35	1	0	0	0	-1139236	0
36	1	0	0	0	0	15171864
37	1	0	0	0	-12436665	0
38	1	0	0	0	-1657311	0
39	1	0	0	0	0	18878944
40	0	1	0	0	-482893	0
41	0	1	0	0	-841236	0
42	0	1	0	0	-770539	0
43	0	1	0	0	-692363	0
44	1	0	0	0	-2182070	0
45	0	1	0	0	-781783	0
46	0	1	0	0	-953064	0
47	0	1	0	0	-995234	0
48	1	0	0	0	-1025488	0
49	0	1	0	0	-67115	0
50	0	1	0	0	-296984	0
51	0	1	0	0	-322763	0
52	0	1	0	0	-37143	0
53	0	1	0	0	-246274	0
54	1	0	0	0	-2205789	0
55	0	1	0	0	-841738	0
56	0	1	0	0	-829922	0
57	1	0	0	0	-2784564	0
58	1	0	0	0	-3016879	0
59	1	0	0	0	-2948155	0
60	1	0	0	0	-3247050	0
61	1	0	0	0	-2860677	0
62	1	0	0	0	-2641265	0
63	1	0	0	0	-56705909	0
64	1	0	0	0	-3193694	0
65	1	0	0	0	-56522573	0
66	1	0	0	0	-56483100	0
67	1	0	0	0	-2105569	0
68	1	0	0	0	-58432343	0
69	1	0	0	0	-3050124	0
70	1	0	0	0	-58515598	0
71	1	0	0	0	-127199575	0
72	1	0	0	0	-38815292	0
73	1	0	0	0	-5012494	0
74	1	0	0	0	-5025797	0
75	1	0	0	0	-96177257	0
76	1	0	0	0	-45036663	0
77	1	0	0	0	-71556398	0
78	1	0	0	0	-112022168	0
79	1	0	0	0	-127230686	0
80	1	0	0	0	-13239616	0
81	1	0	0	0	-13750780	0
82	1	0	0	0	-44556689	0
83	1	0	0	0	-12781678	0
84	1	0	0	0	-40281931	0
85	1	0	0	0	-105554837	0
86	1	0	0	0	-51302051	0
87	1	0	0	0	-50936297	0
88	1	0	0	0	-51177483	0
89	1	0	0	0	-51173494	0
90	1	0	0	0	-51290274	0
91	1	0	0	0	-127419590	0
92	1	0	0	0	-51435645	0
93	1	0	0	0	-51452038	0
94	1	0	0	0	-38994887	0
95	1	0	0	0	-38987178	0
96	1	0	0	0	-50754261	0
97	1	0	0	0	-50749734	0
98	1	0	0	0	-51701793	0
99	1	0	0	0	-52277368	0
100	1	0	0	0	-51414716	0
101	1	0	0	0	-51803563	0
102	1	0	0	0	-78293340	0
103	0	1	0	0	-796279	0
104	1	0	0	0	-64850429	0
105	1	0	0	0	-88764460	0
106	1	0	0	0	-121285252	0
107	1	0	0	0	-8460726	0
108	1	0	0	0	-78564936	0
109	1	0	0	0	-3753459	0
110	1	0	0	0	-16054010	0
111	1	0	0	0	-38798389	0
112	1	0	0	0	-36481536	0
113	1	0	0	0	-40821363	0
114	1	0	0	0	-54917357	0
115	1	0	0	0	-54664335	0
116	1	0	0	0	-122067291	0
117	1	0	0	0	0	57060136
118	1	0	0	0	-16120648	0
119	1	0	0	0	-58181753	0
120	1	0	0	0	-41963181	0
121	1	0	0	0	-13445039	0
122	1	0	0	0	0	15350145
123	1	0	0	0	-49902841	0
124	1	0	0	0	-49931790	0
125	1	0	0	0	-127152946	0
126	1	0	0	0	-62928967	0
127	1	0	0	0	-63155520	0
128	1	0	0	0	-8105484	0
129	1	0	0	0	-8101371	0
130	1	0	0	0	-63148105	0
131	1	0	0	0	-63202848	0
132	1	0	0	0	-63166971	0
133	1	0	0	0	-76733022	0
134	1	0	0	0	-3755864	0
135	1	0	0	0	0	15172440
136	1	0	0	0	-17542429	0
137	1	0	0	0	-17714000	0
138	1	0	0	0	-51251390	0
139	1	0	0	0	-96170042	0
140	1	0	0	0	-6527803	0
141	1	0	0	0	-86136620	0
142	1	0	0	0	-85939446	0
143	1	0	0	0	-82187028	0
144	1	0	0	0	-97685645	0
145	1	0	0	0	-97697758	0
146	1	0	0	0	-97749714	0
147	1	0	0	0	-33821926	0
148	1	0	0	0	-127863256	0
149	1	0	0	0	-124451390	0
150	1	0	0	0	-127015241	0
151	1	0	0	0	-50720932	0
152	1	0	0	0	-3753429	0
153	1	0	0	0	-52335544	0
154	1	0	0	0	-52240012	0
155	1	0	0	0	-97375743	0
156	1	0	0	0	-117936208	0
157	1	0	0	0	-117948267	0
158	1	0	0	0	-117903158	0
159	1	0	0	0	-117881474	0
160	1	0	0	0	-118373741	0
161	1	0	0	0	-117918329	0
162	1	0	0	0	-120684410	0
163	1	0	0	0	-91440785	0
164	1	0	0	0	-58853905	0
165	1	0	0	0	-15985016	0
166	1	0	0	0	0	15200366
167	1	0	0	0	-54432240	0
168	1	0	0	0	0	58768830
169	1	0	0	0	-1524860	0
170	1	0	0	0	-1479038	0
171	1	0	0	0	0	50767856
172	1	0	0	0	-86244909	0
173	1	0	0	0	-85896479	0
174	1	0	0	0	-86198582	0
175	1	0	0	0	-17760377	0
176	1	0	0	0	-17825812	0
177	1	0	0	0	-36939395	0
178	1	0	0	0	-122657249	0
179	1	0	0	0	-122717417	0
180	1	0	0	0	-53250681	0
181	1	0	0	0	-10567526	0
182	1	0	0	0	-50297168	0
183	1	0	0	0	-50346631	0
184	1	0	0	0	-97259642	0
185	1	0	0	0	-41105196	0
186	1	0	0	0	-56607018	0
187	1	0	0	0	-40573747	0
188	1	0	0	0	-17737928	0
189	1	0	0	0	-17805581	0
190	1	0	0	0	0	15661945
191	1	0	0	0	0	14370000
192	1	0	0	0	-56074472	0
193	1	0	0	0	-117831341	0
194	1	0	0	0	-117954823	0
195	1	0	0	0	-118276134	0
196	1	0	0	0	-88550861	0
197	1	0	0	0	0	14261938
198	1	0	0	0	0	14258985
199	1	0	0	0	-61040525	0
200	1	0	0	0	-123538361	0
201	1	0	0	0	-65222820	0
202	1	0	0	0	-63050779	0
203	1	0	0	0	-9916306	0
204	1	0	0	0	0	53935416
205	1	0	0	0	0	66027547
206	1	0	0	0	0	66080321
207	1	0	0	0	0	14409566
208	1	0	0	0	-52121534	0
209	1	0	0	0	-51561589	0
210	1	0	0	0	0	60472762
211	1	0	0	0	-108562145	0
212	1	0	0	0	-64991248	0
213	1	0	0	0	-134686671	0
214	1	0	0	0	-94198128	0
215	1	0	0	0	-75395793	0
216	1	0	0	0	-97577338	0
217	1	0	0	0	-97213220	0
218	1	0	0	0	-97207081	0
219	1	0	0	0	-97406188	0
220	1	0	0	0	-67537677	0
221	1	0	0	0	-95703809	0
222	1	0	0	0	-62767822	0
223	1	0	0	0	-62690486	0
224	1	0	0	0	-73731088	0
225	1	0	0	0	-73705883	0
226	1	0	0	0	-73676172	0
227	1	0	0	0	-127718417	0
228	1	0	0	0	-75291728	0
229	1	0	0	0	-75274535	0
230	1	0	0	0	-127962074	0
231	1	0	0	0	-102709947	0
232	1	0	0	0	-51722630	0
233	1	0	0	0	-15731823	0
234	1	0	0	0	-97625700	0
235	1	0	0	0	-56062061	0
236	1	0	0	0	0	16949778
237	1	0	0	0	-50783749	0
238	1	0	0	0	-93390541	0
239	1	0	0	0	-93410983	0
240	1	0	0	0	-64384798	0
241	1	0	0	0	-63643991	0
242	1	0	0	0	-49653165	0
243	1	0	0	0	-50147960	0
244	1	0	0	0	-50116010	0
245	1	0	0	0	-50045883	0
246	1	0	0	0	0	24734145
247	1	0	0	0	0	24946915
248	1	0	0	0	-100733783	0
249	1	0	0	0	-13369457	0
250	1	0	0	0	-79203634	0
251	1	0	0	0	-123836919	0
252	1	0	0	0	-49426199	0
253	1	0	0	0	-106523866	0
254	1	0	0	0	-57685768	0
255	1	0	0	0	-75427541	0
256	1	0	0	0	-63475309	0
257	1	0	0	0	-49742099	0
258	1	0	0	0	-49730159	0
259	1	0	0	0	-95101441	0
260	1	0	0	0	-73458926	0
261	1	0	0	0	-108370428	0
262	1	0	0	0	-35963900	0
263	1	0	0	0	-36578532	0
264	1	0	0	0	-36632655	0
265	1	0	0	0	-36804683	0
266	1	0	0	0	-51248864	0
267	1	0	0	0	-51277425	0
268	1	0	0	0	-34268024	0
269	1	0	0	0	-8408830	0
270	1	0	0	0	0	16920066
